dataset,classifier,method,metric,change_kind,value_run1,value_run2,delta,attribution
smoke,lstm,CftsCOMTE,proximity_l2,changed_value,3.60047691356,3.14866839002,-0.451808523538,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,scm_noise_plausibility,changed_value,0.295526442952,0.417442574139,0.121916131187,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,sparsity,changed_value,0,0.740333333333,0.740333333333,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,sparsity_channels,changed_value,0,0.74,0.74,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,sparsity_timepoints,changed_value,0,0.00166666666667,0.00166666666667,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCOMTE,trsi,changed_value,0.513376330644,1.32361845871,0.810242128068,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,cf_faith_pearl_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,CftsCels,cf_faith_pearl_soft,changed_value,0.980609825903,0.980735098112,0.000125272208263,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,cf_faith_rollout_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,CftsCels,cf_faith_rollout_soft,changed_value,0.768456886555,0.788388337638,0.019931451082,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,do_complexity_mean,changed_value,21.8,18.6,-3.2,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,do_complexity_mean_all,new_metric,,18.6,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsCels,do_complexity_mean_pearl_scorable,new_metric,,18.6,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsCels,do_complexity_median,changed_value,24,19,-5,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,do_complexity_stability,changed_value,3.673647343,3.3875070028,-0.286140340194,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,frac_no_do_schedule,new_metric,,0,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsCels,n,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,n_cf_faith_scorable,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,n_do_scorable,new_metric,,20,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsCels,ood,changed_value,0.0621594706816,0.0632195202697,0.00106004958814,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,pns_PS_C_world_oracle,changed_value,0,0.05,0.05,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,pns_PS_delta_outcome,changed_value,0,-0.05,-0.05,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,pns_PS_delta_total,changed_value,1,0.95,-0.05,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,pns_PS_do_complexity_mean,changed_value,21.8,18.6,-3.2,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,pns_PS_do_complexity_median,changed_value,24,19,-5,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,pns_PS_n,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,pns_PS_n_scorable,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,proximity_l1,changed_value,2.45460342846,2.03781267448,-0.416790753976,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,proximity_l2,changed_value,0.827243045374,0.860759312515,0.0335162671412,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,scm_noise_plausibility,changed_value,0.922338056281,0.931201234343,0.00886317806142,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,sparsity,changed_value,0.501333333333,0.603666666667,0.102333333333,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,sparsity_timepoints,changed_value,0.233333333333,0.348333333333,0.115,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsCels,trsi,changed_value,1.11733644413,1.09491805426,-0.0224183898637,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,cf_faith_pearl_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,CftsConfeti,cf_faith_pearl_soft,changed_value,0.832554280537,0.831220154621,-0.00133412591542,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,cf_faith_rollout_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,CftsConfeti,cf_faith_rollout_soft,changed_value,0.790144066086,0.77780215732,-0.0123419087659,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,do_complexity_mean,changed_value,17.8,12,-5.8,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,do_complexity_mean_all,new_metric,,12,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsConfeti,do_complexity_mean_pearl_scorable,new_metric,,30,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsConfeti,do_complexity_median,changed_value,29,0,-29,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,frac_degenerate,changed_value,0.4,0.6,0.2,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,frac_no_do_schedule,new_metric,,0.6,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsConfeti,frac_vacuous,changed_value,0.4,0.6,0.2,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,n,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,n_cf_faith_scorable,changed_value,3,8,5,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,n_do_scorable,new_metric,,8,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsConfeti,ood,changed_value,0.054868428439,0.0507121809076,-0.00415624753142,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,pns_PS_A_model_proposed,changed_value,0.666666666667,1,0.333333333333,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,pns_PS_C_world_oracle,changed_value,0,0.125,0.125,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,pns_PS_delta_outcome,changed_value,0,-0.125,-0.125,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,pns_PS_delta_total,changed_value,0.666666666667,0.875,0.208333333333,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,pns_PS_delta_trajectory,changed_value,0.666666666667,1,0.333333333333,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,pns_PS_do_complexity_mean,changed_value,29.6666666667,30,0.333333333333,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,pns_PS_frac_no_intervention,changed_value,0.4,0.6,0.2,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,pns_PS_n,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,pns_PS_n_scorable,changed_value,3,8,5,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,proximity_l1,changed_value,12.8129046854,9.84195741183,-2.9709472736,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,proximity_l2,changed_value,2.04594410138,1.53400821588,-0.511935885493,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,scm_noise_plausibility,changed_value,0.629697289074,0.717666272032,0.0879689829582,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,sparsity,changed_value,0.728,0.807666666667,0.0796666666667,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,sparsity_channels,changed_value,0.4,0.6,0.2,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,sparsity_timepoints,changed_value,0.44,0.61,0.17,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsConfeti,trsi,changed_value,1.4433854731,1.4451062459,0.00172077280032,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,cf_faith_pearl_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,CftsWachter,cf_faith_pearl_soft,changed_value,0.713185495885,0.684275858133,-0.0289096377516,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,cf_faith_rollout_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,CftsWachter,cf_faith_rollout_soft,changed_value,0.766529275582,0.746656019703,-0.0198732558792,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,do_complexity_mean_all,new_metric,,30,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsWachter,do_complexity_mean_pearl_scorable,new_metric,,30,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsWachter,frac_no_do_schedule,new_metric,,0,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsWachter,n,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,n_cf_faith_scorable,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,n_do_scorable,new_metric,,20,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,CftsWachter,ood,changed_value,0.0503317744205,0.0454017667781,-0.00493000764241,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,pns_PS_C_world_oracle,changed_value,0,0.05,0.05,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,pns_PS_delta_outcome,changed_value,0,-0.05,-0.05,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,pns_PS_delta_total,changed_value,1,0.95,-0.05,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,pns_PS_n,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,pns_PS_n_scorable,changed_value,5,20,15,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,proximity_l1,changed_value,54.5762027907,62.9255013626,8.34929857189,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,proximity_l2,changed_value,6.59069838603,7.48709278418,0.89639439815,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,scm_noise_plausibility,changed_value,0.840639421341,0.720705016095,-0.119934405246,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,sparsity,changed_value,0.00266666666667,0.00733333333333,0.00466666666667,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,CftsWachter,trsi,changed_value,1.22181861261,1.15699388718,-0.0648247254362,User-requested CFTS update 2fb4921→f925d1a and adapter migration; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,cf_faith_pearl_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,NoiselessSCMRecourse,cf_faith_pearl_soft,changed_value,0.758145803251,0.776812026161,0.0186662229097,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,cf_faith_rollout_hard_given_valid,new_metric,,1,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,NoiselessSCMRecourse,cf_faith_rollout_soft,changed_value,0.99999999456,0.99999999129,-3.27007343426e-09,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,do_complexity_mean,changed_value,17.8,16.75,-1.05,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,do_complexity_mean_all,new_metric,,16.75,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,NoiselessSCMRecourse,do_complexity_mean_pearl_scorable,new_metric,,16.75,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,NoiselessSCMRecourse,do_complexity_stability,changed_value,1,1.00357142857,0.00357142857143,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,frac_no_do_schedule,new_metric,,0,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,NoiselessSCMRecourse,n,changed_value,5,20,15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,n_cf_faith_scorable,changed_value,5,20,15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,n_do_scorable,new_metric,,20,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,NoiselessSCMRecourse,ood,changed_value,0.0872406471561,0.0767774723832,-0.0104631747729,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,pns_PS_B_model_oracle,changed_value,0.2,0.05,-0.15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,pns_PS_C_world_oracle,changed_value,0,0.05,0.05,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,pns_PS_delta_outcome,changed_value,0.2,0,-0.2,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,pns_PS_delta_total,changed_value,1,0.95,-0.05,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,pns_PS_delta_trajectory,changed_value,0.8,0.95,0.15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,pns_PS_do_complexity_mean,changed_value,17.8,16.75,-1.05,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,pns_PS_n,changed_value,5,20,15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,pns_PS_n_scorable,changed_value,5,20,15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,proximity_l1,changed_value,30.4630067698,27.2599806903,-3.20302607943,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,proximity_l2,changed_value,4.61012330612,4.2293552127,-0.380768093423,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,scm_noise_plausibility,changed_value,0.45992480615,0.467849426746,0.00792462059601,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,sparsity,changed_value,0.408,0.448666666667,0.0406666666667,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,sparsity_timepoints,changed_value,0.406666666667,0.441666666667,0.035,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,NoiselessSCMRecourse,trsi,changed_value,0.941589504631,1.06972020043,0.1281306958,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,cf_faith_pearl_hard_given_valid,new_metric,,1,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,PearlSCMRecourse,cf_faith_pearl_hard_valid,changed_value,0.8,1,0.2,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,cf_faith_pearl_soft,changed_value,0.999999961469,0.999999954951,-6.51810283525e-09,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,cf_faith_rollout_hard_given_valid,new_metric,,0,,Stage 2 D5 conditional-faithfulness metric
smoke,lstm,PearlSCMRecourse,cf_faith_rollout_soft,changed_value,0.753253901079,0.787220572295,0.0339666712158,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,do_complexity_mean_all,new_metric,,1,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,PearlSCMRecourse,do_complexity_mean_pearl_scorable,new_metric,,1,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,PearlSCMRecourse,frac_no_do_schedule,new_metric,,0,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,PearlSCMRecourse,n,changed_value,5,20,15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,n_cf_faith_scorable,changed_value,5,20,15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,n_do_scorable,new_metric,,20,,Stage 2 D4 explicit do-complexity denominators
smoke,lstm,PearlSCMRecourse,ood,changed_value,0.034966683315,0.0161846004304,-0.0187820828846,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,pns_PS_A_model_proposed,changed_value,0.8,1,0.2,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,pns_PS_B_model_oracle,changed_value,0.8,1,0.2,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,pns_PS_C_world_oracle,changed_value,0.8,0.85,0.05,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,pns_PS_delta_outcome,changed_value,0,0.15,0.15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
smoke,lstm,PearlSCMRecourse,pns_PS_delta_total,changed_value,0,0.15,0.15,Stage 1 proximity rescaling and bounded prediction-only fallback; n_cf increased from 5 to 20 and test accuracy changed 0.94→0.92
