dataset,classifier,method,axis_a_LagAcc,axis_a_LagF1,axis_a_ResidualDep,axis_a_SHD,cf_faith_pearl_hard,cf_faith_pearl_hard_given_valid,cf_faith_pearl_hard_valid,cf_faith_pearl_soft,cf_faith_rollout_hard,cf_faith_rollout_hard_given_valid,cf_faith_rollout_hard_valid,cf_faith_rollout_soft,do_complexity_mean,do_complexity_mean_all,do_complexity_mean_pearl_scorable,do_complexity_median,do_complexity_stability,frac_degenerate,frac_no_do_schedule,frac_vacuous,n,n_cf_faith_scorable,n_do_scorable,ood,pns_PS_A_model_proposed,pns_PS_B_model_oracle,pns_PS_C_world_oracle,pns_PS_delta_outcome,pns_PS_delta_total,pns_PS_delta_trajectory,pns_PS_do_complexity_mean,pns_PS_do_complexity_median,pns_PS_frac_no_intervention,pns_PS_n,pns_PS_n_scorable,proximity_l1,proximity_l2,scm_noise_plausibility,shift_vr,sparsity,sparsity_channels,sparsity_timepoints,trsi,validity,validity_base,validity_shift
full_nl,lstm,CftsCOMTE,,,,,0.0,0.0,0.0,0.6945048984144832,0.0,0.0,0.0,0.6290234430143503,99.99,99.99,99.99,100.0,1.0015443967340139,0.0,0.0,0.0,100.0,100.0,100.0,-0.02108817896583865,1.0,0.16,0.16,0.0,0.84,0.84,99.99,100.0,0.0,100.0,100.0,231.43594462775246,19.328462335481255,0.34910450754162914,1.0,0.7942900000000002,0.7940000000000002,0.0005,1.5331136540102448,1.0,1.0,1.0
full_nl,lstm,CftsCels,,,,,0.24,0.0,0.0,0.9724303178236573,0.0,0.0,0.0,0.849956868857835,26.35,26.35,26.35,26.5,12.723458611220222,0.0,0.0,0.0,100.0,100.0,100.0,0.022811076409865006,0.76,0.0,0.0,0.0,0.76,0.76,26.35,26.5,0.0,100.0,100.0,8.917962106291021,2.1648272122225616,0.9430789399864384,0.9342105263157894,0.9256899999999999,0.033,0.7632999999999999,1.2546115063484662,0.76,0.76,0.71
full_nl,lstm,CftsConfeti,,,,,0.0,0.0,0.0,0.37662649787345365,0.0,0.0,0.0,0.3611374745299334,88.0,88.0,100.0,100.0,1.0,0.12,0.12,0.12,100.0,88.0,88.0,-0.07375907289166958,1.0,0.19318181818181818,0.19318181818181818,0.0,0.8068181818181819,0.8068181818181819,100.0,100.0,0.12,100.0,88.0,637.356425768402,35.540277791401365,0.19816635655468512,0.8636363636363636,0.5601400000000001,0.12,0.12119999999999999,1.402646602325787,0.88,0.88,0.76
full_nl,lstm,CftsWachter,,,,,0.0,0.0,0.0,0.7055278702274683,0.0,0.0,0.0,0.7274948440811845,99.96,99.96,99.96,100.0,1.0753024407669611,0.0,0.0,0.0,100.0,100.0,100.0,-0.007389908903657971,1.0,0.43,0.43,0.0,0.5700000000000001,0.5700000000000001,99.96,100.0,0.0,100.0,100.0,1299.3551032761084,50.18964139824193,0.6323175085899468,1.0,0.08275,0.0,0.0011,1.1889503361272997,1.0,1.0,1.0
full_nl,lstm,NoiselessSCMRecourse,,,,,0.0,0.0,0.0,0.7454591122395808,1.0,1.0,0.49,0.9999999092340695,59.68,59.68,59.68,50.0,1.0,0.0,0.0,0.07,100.0,100.0,100.0,-0.02242465336120759,0.49,0.35,0.35,0.0,0.14,0.14,59.68,50.0,0.0,100.0,100.0,735.4423714213838,37.9186855849734,0.4761087629163161,0.8163265306122449,0.40391999999999995,0.0,0.40319999999999995,1.0367288289903247,0.49,0.49,0.4
full_nl,lstm,PearlSCMRecourse,,,,,1.0,1.0,0.58,0.9999998697521791,0.0,0.0,0.0,0.7275564208740097,0.87,0.87,1.0,1.0,1.0,0.13,0.13,0.13,100.0,87.0,87.0,-0.03303899442320787,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.13,100.0,87.0,642.6220114582643,34.2708512454153,0.927397563047034,0.7758620689655173,0.53704,0.13,0.5337,1.0440119405207873,0.58,0.58,0.45
full_nl,lstm,TSCausal,,,,,0.0,,0.0,0.42065324403047166,0.0,,0.0,0.9855502200881944,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.04613951624925052,0.0,0.36,0.36,0.0,-0.36,-0.36,100.0,100.0,0.0,100.0,100.0,183.84493793246557,10.656371635628089,0.0029563638281377906,,0.00617,0.0,0.0,1.133324993070006,0.0,0.0,0.0
full_nl,lstm,__dataset__,1.0,1.0,0.0022212846554196084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_nl,oracle,OracleCF-Pearl,,,,,1.0,1.0,0.43,0.999999970981455,0.0,0.0,0.0,0.8699344435560034,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.019657697596897738,,,,,,,,,,,,24.734855463976817,3.255885705622004,0.9741070441416518,,0.94258,0.31200000000000006,0.8822,1.371398641059333,0.43,,
full_nl,oracle,OracleCF-Rollout,,,,,0.0,0.0,0.0,0.8699344431831442,1.0,1.0,0.41,0.9999999710139389,50.0,50.0,50.0,50.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.03983991238921452,,,,,,,,,,,,83.92008386435823,5.767875728648469,0.5203084055983499,,0.51205,0.0,0.5,1.2269726275328197,0.41,,
full_spring,lstm,CftsCOMTE,,,,,0.0,0.0,0.0,0.3553479786039784,0.0,0.0,0.0,0.12185346982007808,100.0,100.0,100.0,100.0,1.0005071119356834,0.0,0.0,0.0,100.0,100.0,100.0,0.0867138561155749,1.0,0.03,0.03,0.0,0.97,0.97,100.0,100.0,0.0,100.0,100.0,1729.581609044568,144.25965290413765,0.8199040498492084,1.0,0.8100200000000002,0.8100000000000002,0.0001,0.04485306805640847,1.0,1.0,1.0
full_spring,lstm,CftsCels,,,,,0.4,0.0,0.0,0.9482127030018142,0.0,0.0,0.0,0.24938820575377535,55.26,55.26,55.26,53.0,16.50666488534855,0.0,0.0,0.0,100.0,100.0,100.0,0.07974449400368804,0.31,0.0,0.01,-0.01,0.3,0.31,55.26,53.0,0.0,100.0,100.0,50.61793576759588,7.943991028807817,0.939827508893664,1.0,0.8634100000000001,0.079,0.5265000000000001,1.0413375783586978,0.31,0.31,0.31
full_spring,lstm,CftsConfeti,,,,,0.0,0.0,0.0,0.009506162186381645,0.0,0.0,0.0,0.007171400662873424,64.0,64.0,100.0,100.0,1.0,0.36,0.36,0.36,100.0,64.0,64.0,0.0727903380307574,1.0,0.3125,0.296875,0.015625,0.703125,0.6875,100.0,100.0,0.36,100.0,64.0,2200.6718129556793,141.7525329681665,0.372128870857139,1.34375,0.67574,0.36,0.3608,1.1272234069576932,0.64,0.64,0.86
full_spring,lstm,CftsWachter,,,,,0.0,0.0,0.0,0.07688492198939072,0.0,0.0,0.0,0.14575061170317485,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.07107830281440863,0.63,0.38,0.38,0.0,0.25,0.25,100.0,100.0,0.0,100.0,100.0,9951.785911096225,486.64284671516543,0.8360642533652762,1.111111111111111,0.00406,0.0,0.0,0.025778868047343573,0.63,0.63,0.7
full_spring,lstm,NoiselessSCMRecourse,,,,,0.0,0.0,0.0,0.3355998003487944,1.0,1.0,1.0,0.9999961911886204,73.0,73.0,73.0,75.0,1.000204081632653,0.0,0.0,0.0,100.0,100.0,100.0,0.06693756854089766,1.0,0.49,0.48,0.010000000000000009,0.52,0.51,73.0,75.0,0.0,100.0,100.0,2830.4547594505793,153.17198798936388,0.3628868551570604,1.0,0.27105,0.0,0.27,0.06378048341355828,1.0,1.0,1.0
full_spring,lstm,PearlSCMRecourse,,,,,1.0,1.0,1.0,0.999998637811187,0.0,0.0,0.0,0.32033774962466965,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.07222373498381159,1.0,1.0,0.98,0.020000000000000018,0.020000000000000018,0.0,1.0,1.0,0.0,100.0,100.0,2225.771965247591,138.25400674322935,0.932653747591988,1.0,0.25957,0.005,0.25,0.036118405952524295,1.0,1.0,1.0
full_spring,lstm,TSCausal,,,,,0.0,0.0,0.0,0.29945745327336004,0.0,0.0,0.0,0.5562528403640815,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.09583079270889774,0.05,0.04,0.04,0.0,0.010000000000000002,0.010000000000000002,100.0,100.0,0.0,100.0,100.0,1304.397045170553,60.400566562698074,0.021987135494364506,,0.006580000000000002,0.0,0.0,0.10169880063205593,0.05,0.05,0.09
full_spring,lstm,__dataset__,1.0,1.0,0.0018141753685957237,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_spring,oracle,OracleCF-Pearl,,,,,1.0,1.0,0.45,0.9999997356061792,0.0,0.0,0.0,0.4792906539417967,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0735803639790474,,,,,,,,,,,,192.3760133061618,20.216313846634804,0.9719849046375961,,0.8774999999999998,0.7499999999999999,0.5,0.055272913818228304,0.45,,
full_spring,oracle,OracleCF-Rollout,,,,,0.0,0.0,0.0,0.47929065061555215,1.0,1.0,0.45,0.9999997508829391,50.0,50.0,50.0,50.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.07688996249120972,,,,,,,,,,,,485.4860133161975,32.21126077524138,0.5172248495820349,,0.5096,0.0,0.5,0.132346584229893,0.45,,
smoke_spring,lstm,CftsCOMTE,,,,,0.0,0.0,0.0,0.4120869227070155,0.0,0.0,0.0,0.29309609060090136,30.0,30.0,30.0,30.0,1.0,0.0,0.0,0.0,20.0,20.0,20.0,0.08859414900321479,1.0,0.1,0.1,0.0,0.9,0.9,30.0,30.0,0.0,20.0,20.0,570.400889336252,66.9935521331898,0.6871371912245939,1.0,0.745,0.745,0.0,0.06949762985076074,1.0,1.0,1.0
smoke_spring,lstm,CftsCels,,,,,0.25,0.0,0.0,0.8986959574110264,0.0,0.0,0.0,0.5863404876279942,20.5,20.5,20.5,19.0,11.824640804597701,0.0,0.0,0.0,20.0,20.0,20.0,0.08111430366197925,0.3,0.0,0.0,0.0,0.3,0.3,20.5,19.0,0.0,20.0,20.0,40.97882068760889,5.632260296682693,0.9103062120248365,0.6666666666666667,0.7536666666666665,0.24500000000000002,0.42666666666666664,0.9054521962717361,0.3,0.3,0.2
smoke_spring,lstm,CftsConfeti,,,,,0.0,0.0,0.0,0.03416865254596916,0.0,0.0,0.0,0.025228952259304993,4.5,4.5,30.0,0.0,1.0,0.85,0.85,0.85,20.0,3.0,3.0,0.07786308279517298,1.0,0.6666666666666666,0.6666666666666666,0.0,0.33333333333333337,0.33333333333333337,30.0,30.0,0.85,20.0,3.0,69.96764948966947,7.449626680323431,0.8271172249514708,,0.9253333333333333,0.85,0.85,1.3142895408055577,0.15,0.15,0.15
smoke_spring,lstm,CftsWachter,,,,,0.0,0.0,0.0,0.3558538385815825,0.0,0.0,0.0,0.43940461864685537,30.0,30.0,30.0,30.0,1.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0674163517969697,0.85,0.55,0.5,0.050000000000000044,0.35,0.29999999999999993,30.0,30.0,0.0,20.0,20.0,1823.2309919042218,142.24689744415588,0.7143672227921999,1.0588235294117647,0.0001666666666666667,0.0,0.0,0.051155920659035,0.85,0.85,0.9
smoke_spring,lstm,NoiselessSCMRecourse,,,,,0.0,0.0,0.0,0.6907049961142744,1.0,1.0,1.0,0.999999349368129,22.0,22.0,22.0,22.0,1.0,0.0,0.0,0.0,20.0,20.0,20.0,0.04407643314220364,1.0,0.7,0.5,0.19999999999999996,0.5,0.30000000000000004,22.0,22.0,0.0,20.0,20.0,801.4635233425837,62.51468554631983,0.6690922816802619,1.0,0.2668333333333333,0.0,0.26666666666666666,0.119209282613382,1.0,1.0,1.0
smoke_spring,lstm,PearlSCMRecourse,,,,,1.0,1.0,1.0,0.9999995599226074,0.0,0.0,0.0,0.690705081436972,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,20.0,20.0,0.04111579460353276,1.0,1.0,0.45,0.55,0.55,0.0,1.0,1.0,0.0,20.0,20.0,814.471469792929,63.83346489469634,0.620454987566074,1.0,0.26666666666666666,0.0,0.26666666666666666,0.09228926424348896,1.0,1.0,1.0
smoke_spring,lstm,TSCausal,,,,,0.0,,0.0,0.6069646655302544,0.0,,0.0,0.9847703510251605,30.0,30.0,30.0,30.0,1.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0887633369897303,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,20.0,20.0,223.44752572037092,18.27383149832945,0.005403827676178446,,0.02883333333333333,0.0,0.0,0.16671995623171193,0.0,0.0,0.0
smoke_spring,lstm,__dataset__,1.0,1.0,0.01710160495921516,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_spring,oracle,OracleCF-Pearl,,,,,1.0,1.0,0.5,0.9999998616501706,0.0,0.0,0.0,0.75326382964804,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,20.0,20.0,0.07649055352424514,,,,,,,,,,,,34.63494716790412,6.513775379377085,0.9494819368768292,,0.8323333333333334,0.6300000000000001,0.5,0.1284132628381665,0.5,,
smoke_spring,oracle,OracleCF-Rollout,,,,,0.0,0.0,0.0,0.7532638236139403,1.0,1.0,0.5,0.9999998689818369,15.0,15.0,15.0,15.0,1.0,0.0,0.0,0.0,20.0,20.0,20.0,0.07762130296331558,,,,,,,,,,,,69.2382808583011,8.277308926452651,0.5754184906096281,,0.5309999999999999,0.0,0.5,0.2594716461031504,0.5,,
